1030   1
1087   1
1117   1
1222   1
1374   1
2082   1
2551   1
315   2
317   2
318   2
319   4
320   3
321   3
322   4
323   4
324   3
325   2
326   3
327   1
328   4
329   2
330   2
331   3
334   2
335   2
338   1
343   1
344   1
345   1
357   1
636   1
644   1
666   1
678   1
680   1
692   1
701   1
707   2
714   1
717   1
720   1
725   1
732   1
736   1
738   2
748   1
750   1
752   1
760   1
761   1
763   1
765   1
773   1
801   1
804   1
819   1
821   1
822   1
849   1
854   1
856   1
858   1
871   1
897   1
899   1
905   1
919   1
976   1
